FileType,OuDiaSecond.JikokuhyouCsv.2
時刻表
上り

列車番号,,1002,102,1004,104,1006,106,1008,3002,108,1010,2002,4002,3004,110,1012,2004,7002,3006,112,1014,2006,7004,3008,114,1016,2008,7006,3010,116,1018,2010,7008,3012,118,1020,2012,7010,3014,120,1022,2014,7012,3016,122,1024,2016,7014,3018,124,1026,2018,7016,3020,126,1028,2020,3022,128,1030,2022,3024,130,1032,2024,3026,132,1034,2026,3028,134,1036,2028,3030,136,1038,2030,3032,138,1040,2032,3034,140,1042,2034,3036,142,1044,2036,3038,144,1046,2038,3040,146,1048,2040,3042,148,1050,2042,3044,150,1052,2044,3046,152,1054,2046,3048,154,1056,2048,3050,156,1058,2050,3052,158,1060,2052,3054,160,1062,2054,3056,162,1064,2056,3058,164,1066,2058,3060,166,1068,2060,3062,168,1070,2062,3064,170,1072,2064,3066,172,1074,2066,3068,174,1076,2068,3070,176,1078,2070,3072,178,1080,2072,3074,180,1082,2074,3076,182,1084,2076,3078,184,1086,2078,3080,186,1088,2080,3082,188,1090,2082,3084,190,1092,2084,3086,192,1094,2086,7018,3088,194,1096,2088,7020,3090,196,1098,2090,7022,3092,198,1100,2092,7024,3094,200,1102,2094,7026,3096,202,1104,2096,7028,3098,204,1106,2098,7030,3100,206,1108,2100,7032,3102,208,1110,2102,3104,210,1112,2104,3106,212,1114,2106,3108,214,1116,2108,3110,216,1118,2110,3112,218,1120,2112,3114,220,1122,2114,3116,222,1124,2116,3118,224,1126,2118,3120,226,1128,2120,3122,228,1130,2122,3124,230,1132,9060,9040,232,1134,9062,9042,234,1136,9064,9044,236,1138,238,1140,240,1142,242,1144,244,1146,246,1148,9058,9046,9048,9050,9052,9054,9056,1150,248,1152,5002,5004,5006,5008,5010,5012,5014,5016,5018,5020,5022,5024,5026,5028,5030,5032,5034,5036,5038,5040,5042,5044,5046,5048,5050,5052,5054,5056,5058,5060,5062,5064,5066,5068,5070,5072,5074,5076,5078,5080,5082,5084,5086,5088,5090,5092,5094,5096,5098,5100,5102,5104,5106,5108,5110,5112,5114,5118,5120,5122,5124,5126,5128,5130,5132,5134,5136,5138,5140,5142,5144,5146,5148,5150,5152,5154,5156,5158,5160,5162,5164,5166,5168,5170,5172,5174,5176,5178,9002,9004,9006,9008,9010,9012,9014,9016,9018,9020,9022,9024,9026,9028,9030,9032,9034,9036,9038,9066,9068,9070
飛灣機場,番線,,,,3,4,3,4,,3,4,,,4,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,4,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,,,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,2,1,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛灣機場,発,,,, 60050, 60135, 61550, 61635,, 63050, 63135,,, 63930, 64550, 64635,, 65510,, 70050, 70135,, 71010,, 71550, 71635,, 72510,, 73050, 73135,, 74010,, 74550, 74635,, 75510,, 80050, 80135,, 81010,, 81550, 81635,, 82510,, 83050, 83135,, 84010,, 84550, 84635,,, 90050, 90135,,, 91550, 91635,,, 93050, 93135,,, 94550, 94635,,,100050,100135,,,101550,101635,,,103050,103135,,,104550,104635,,,110050,110135,,,111550,111635,,,113050,113135,,,114550,114635,,,120050,120135,,,121550,121635,,,123050,123135,,,124550,124635,,,130050,130135,,,131550,131635,,,133050,133135,,,134550,134635,,,140050,140135,,,141550,141635,,,143050,143135,,,144550,144635,,,150050,150135,,,151550,151635,,,153050,153135,,,154550,154635,,,160050,160135,,,161550,161635,,,163050,163135,,,164550,164635,,,170050,170135,,171010,,171550,171635,,172510,,173050,173135,,174010,,174550,174635,,175510,,180050,180135,,181010,,181550,181635,,182510,,183050,183135,,184010,,184550,184635,,185510,,190050,190135,,,191550,191635,,,193050,193135,,,194550,194635,,,200050,200135,,,201550,201635,,,203050,203135,,,204550,204635,,,210050,210135,,,211550,211635,,,213050,213135,,,214550,214635,,,220050,220135,,,221550,221635,,,223050,223135,224550,224635,230050,230135,231550,231635,233050,233135,234550,234635, ﾚ, 00100, 00400, 00700, 01000, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空港新城,発,,,, ﾚ, 60525, ﾚ, 62025,, ﾚ, 63525,,, 64320, ﾚ, 65025,, ﾚ,, ﾚ, 70525,, ﾚ,, ﾚ, 72025,, ﾚ,, ﾚ, 73525,, ﾚ,, ﾚ, 75025,, ﾚ,, ﾚ, 80525,, ﾚ,, ﾚ, 82025,, ﾚ,, ﾚ, 83525,, ﾚ,, ﾚ, 85025,,, ﾚ, 90525,,, ﾚ, 92025,,, ﾚ, 93525,,, ﾚ, 95025,,, ﾚ,100525,,, ﾚ,102025,,, ﾚ,103525,,, ﾚ,105025,,, ﾚ,110525,,, ﾚ,112025,,, ﾚ,113525,,, ﾚ,115025,,, ﾚ,120525,,, ﾚ,122025,,, ﾚ,123525,,, ﾚ,125025,,, ﾚ,130525,,, ﾚ,132025,,, ﾚ,133525,,, ﾚ,135025,,, ﾚ,140525,,, ﾚ,142025,,, ﾚ,143525,,, ﾚ,145025,,, ﾚ,150525,,, ﾚ,152025,,, ﾚ,153525,,, ﾚ,155025,,, ﾚ,160525,,, ﾚ,162025,,, ﾚ,163525,,, ﾚ,165025,,, ﾚ,170525,, ﾚ,, ﾚ,172025,, ﾚ,, ﾚ,173525,, ﾚ,, ﾚ,175025,, ﾚ,, ﾚ,180525,, ﾚ,, ﾚ,182025,, ﾚ,, ﾚ,183525,, ﾚ,, ﾚ,185025,, ﾚ,, ﾚ,190525,,, ﾚ,192025,,, ﾚ,193525,,, ﾚ,195025,,, ﾚ,200525,,, ﾚ,202025,,, ﾚ,203525,,, ﾚ,205025,,, ﾚ,210525,,, ﾚ,212025,,, ﾚ,213525,,, ﾚ,215025,,, ﾚ,220525,,, ﾚ,222025,,, ﾚ,223525, ﾚ,225025, ﾚ,230525, ﾚ,232025, ﾚ,233525, ﾚ,235025, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鷺島,発,,,, ﾚ, 60805, ﾚ, 62305,, ﾚ, 63805,,, 64600, ﾚ, 65305,, ﾚ,, ﾚ, 70805,, ﾚ,, ﾚ, 72305,, ﾚ,, ﾚ, 73805,, ﾚ,, ﾚ, 75305,, ﾚ,, ﾚ, 80805,, ﾚ,, ﾚ, 82305,, ﾚ,, ﾚ, 83805,, ﾚ,, ﾚ, 85305,,, ﾚ, 90805,,, ﾚ, 92305,,, ﾚ, 93805,,, ﾚ, 95305,,, ﾚ,100805,,, ﾚ,102305,,, ﾚ,103805,,, ﾚ,105305,,, ﾚ,110805,,, ﾚ,112305,,, ﾚ,113805,,, ﾚ,115305,,, ﾚ,120805,,, ﾚ,122305,,, ﾚ,123805,,, ﾚ,125305,,, ﾚ,130805,,, ﾚ,132305,,, ﾚ,133805,,, ﾚ,135305,,, ﾚ,140805,,, ﾚ,142305,,, ﾚ,143805,,, ﾚ,145305,,, ﾚ,150805,,, ﾚ,152305,,, ﾚ,153805,,, ﾚ,155305,,, ﾚ,160805,,, ﾚ,162305,,, ﾚ,163805,,, ﾚ,165305,,, ﾚ,170805,, ﾚ,, ﾚ,172305,, ﾚ,, ﾚ,173805,, ﾚ,, ﾚ,175305,, ﾚ,, ﾚ,180805,, ﾚ,, ﾚ,182305,, ﾚ,, ﾚ,183805,, ﾚ,, ﾚ,185305,, ﾚ,, ﾚ,190805,,, ﾚ,192305,,, ﾚ,193805,,, ﾚ,195305,,, ﾚ,200805,,, ﾚ,202305,,, ﾚ,203805,,, ﾚ,205305,,, ﾚ,210805,,, ﾚ,212305,,, ﾚ,213805,,, ﾚ,215305,,, ﾚ,220805,,, ﾚ,222305,,, ﾚ,223805, ﾚ,225305, ﾚ,230805, ﾚ,232305, ﾚ,233805, ﾚ,235305, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
錦湖,発,,,, ﾚ, 60925, ﾚ, 62425,, ﾚ, 63925,,, 64720, ﾚ, 65425,, ﾚ,, ﾚ, 70925,, ﾚ,, ﾚ, 72425,, ﾚ,, ﾚ, 73925,, ﾚ,, ﾚ, 75425,, ﾚ,, ﾚ, 80925,, ﾚ,, ﾚ, 82425,, ﾚ,, ﾚ, 83925,, ﾚ,, ﾚ, 85425,,, ﾚ, 90925,,, ﾚ, 92425,,, ﾚ, 93925,,, ﾚ, 95425,,, ﾚ,100925,,, ﾚ,102425,,, ﾚ,103925,,, ﾚ,105425,,, ﾚ,110925,,, ﾚ,112425,,, ﾚ,113925,,, ﾚ,115425,,, ﾚ,120925,,, ﾚ,122425,,, ﾚ,123925,,, ﾚ,125425,,, ﾚ,130925,,, ﾚ,132425,,, ﾚ,133925,,, ﾚ,135425,,, ﾚ,140925,,, ﾚ,142425,,, ﾚ,143925,,, ﾚ,145425,,, ﾚ,150925,,, ﾚ,152425,,, ﾚ,153925,,, ﾚ,155425,,, ﾚ,160925,,, ﾚ,162425,,, ﾚ,163925,,, ﾚ,165425,,, ﾚ,170925,, ﾚ,, ﾚ,172425,, ﾚ,, ﾚ,173925,, ﾚ,, ﾚ,175425,, ﾚ,, ﾚ,180925,, ﾚ,, ﾚ,182425,, ﾚ,, ﾚ,183925,, ﾚ,, ﾚ,185425,, ﾚ,, ﾚ,190925,,, ﾚ,192425,,, ﾚ,193925,,, ﾚ,195425,,, ﾚ,200925,,, ﾚ,202425,,, ﾚ,203925,,, ﾚ,205425,,, ﾚ,210925,,, ﾚ,212425,,, ﾚ,213925,,, ﾚ,215425,,, ﾚ,220925,,, ﾚ,222425,,, ﾚ,223925, ﾚ,225425, ﾚ,230925, ﾚ,232425, ﾚ,233925, ﾚ,235425, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛灣公園,着,,,, 60815, 61105, 62315, 62605,, 63815, 64105,,, 64900, 65315, 65605,, 70235,, 70815, 71105,, 71735,, 72315, 72605,, 73235,, 73815, 74105,, 74735,, 75315, 75605,, 80235,, 80815, 81105,, 81735,, 82315, 82605,, 83235,, 83815, 84105,, 84735,, 85315, 85605,,, 90815, 91105,,, 92315, 92605,,, 93815, 94105,,, 95315, 95605,,,100815,101105,,,102315,102605,,,103815,104105,,,105315,105605,,,110815,111105,,,112315,112605,,,113815,114105,,,115315,115605,,,120815,121105,,,122315,122605,,,123815,124105,,,125315,125605,,,130815,131105,,,132315,132605,,,133815,134105,,,135315,135605,,,140815,141105,,,142315,142605,,,143815,144105,,,145315,145605,,,150815,151105,,,152315,152605,,,153815,154105,,,155315,155605,,,160815,161105,,,162315,162605,,,163815,164105,,,165315,165605,,,170815,171105,,171735,,172315,172605,,173235,,173815,174105,,174735,,175315,175605,,180235,,180815,181105,,181735,,182315,182605,,183235,,183815,184105,,184735,,185315,185605,,190235,,190815,191105,,,192315,192605,,,193815,194105,,,195315,195605,,,200815,201105,,,202315,202605,,,203815,204105,,,205315,205605,,,210815,211105,,,212315,212605,,,213815,214105,,,215315,215605,,,220815,221105,,,222315,222605,,,223815,224105,225315,225605,230815,231105,232315,232605,233815,234105,235315,235605, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛灣公園,番線,,,4,3,4,3,4,4,3,4,3,,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,帶狀,4,3,4,帶狀,4,3,4,帶狀,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛灣公園,発,,, 55705, 60915, 61205, 62415, 62705, 63500, 63915, 64205, 64545,, 65000, 65415, 65705, 70045, 70335, 70500, 70915, 71205, 71545, 71835, 72000, 72415, 72705, 73045, 73335, 73500, 73915, 74205, 74545, 74835, 75000, 75415, 75705, 80045, 80335, 80500, 80915, 81205, 81545, 81835, 82000, 82415, 82705, 83045, 83335, 83500, 83915, 84205, 84545, 84835, 85000, 85415, 85705, 90045, 90500, 90915, 91205, 91545, 92000, 92415, 92705, 93045, 93500, 93915, 94205, 94545, 95000, 95415, 95705,100045,100500,100915,101205,101545,102000,102415,102705,103045,103500,103915,104205,104545,105000,105415,105705,110045,110500,110915,111205,111545,112000,112415,112705,113045,113500,113915,114205,114545,115000,115415,115705,120045,120500,120915,121205,121545,122000,122415,122705,123045,123500,123915,124205,124545,125000,125415,125705,130045,130500,130915,131205,131545,132000,132415,132705,133045,133500,133915,134205,134545,135000,135415,135705,140045,140500,140915,141205,141545,142000,142415,142705,143045,143500,143915,144205,144545,145000,145415,145705,150045,150500,150915,151205,151545,152000,152415,152705,153045,153500,153915,154205,154545,155000,155415,155705,160045,160500,160915,161205,161545,162000,162415,162705,163045,163500,163915,164205,164545,165000,165415,165705,170045,170500,170915,171205,171545,171835,172000,172415,172705,173045,173335,173500,173915,174205,174545,174835,175000,175415,175705,180045,180335,180500,180915,181205,181545,181835,182000,182415,182705,183045,183335,183500,183915,184205,184545,184835,185000,185415,185705,190045,190335,190500,190915,191205,191545,192000,192415,192705,193045,193500,193915,194205,194545,195000,195415,195705,200045,200500,200915,201205,201545,202000,202415,202705,203045,203500,203915,204205,204545,205000,205415,205705,210045,210500,210915,211205,211545,212000,212415,212705,213045,213500,213915,214205,214545,215000,215415,215705,215900,220300,220915,221205,221400,221800,222415,222705,222900,223300,223915,224205,225415,225705,230915,231205,232415,232705,233915,234205,235415,235705, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛灣大道,発,,, 60105, ﾚ, 61605, ﾚ, 63105, 63900, ﾚ, 64605, 64945,, 65400, ﾚ, 70105, 70445, 70730, 70900, ﾚ, 71605, 71945, 72230, 72400, ﾚ, 73105, 73445, 73730, 73900, ﾚ, 74605, 74945, 75230, 75400, ﾚ, 80105, 80445, 80730, 80900, ﾚ, 81605, 81945, 82230, 82400, ﾚ, 83105, 83445, 83730, 83900, ﾚ, 84605, 84945, 85230, 85400, ﾚ, 90105, 90445, 90900, ﾚ, 91605, 91945, 92400, ﾚ, 93105, 93445, 93900, ﾚ, 94605, 94945, 95400, ﾚ,100105,100445,100900, ﾚ,101605,101945,102400, ﾚ,103105,103445,103900, ﾚ,104605,104945,105400, ﾚ,110105,110445,110900, ﾚ,111605,111945,112400, ﾚ,113105,113445,113900, ﾚ,114605,114945,115400, ﾚ,120105,120445,120900, ﾚ,121605,121945,122400, ﾚ,123105,123445,123900, ﾚ,124605,124945,125400, ﾚ,130105,130445,130900, ﾚ,131605,131945,132400, ﾚ,133105,133445,133900, ﾚ,134605,134945,135400, ﾚ,140105,140445,140900, ﾚ,141605,141945,142400, ﾚ,143105,143445,143900, ﾚ,144605,144945,145400, ﾚ,150105,150445,150900, ﾚ,151605,151945,152400, ﾚ,153105,153445,153900, ﾚ,154605,154945,155400, ﾚ,160105,160445,160900, ﾚ,161605,161945,162400, ﾚ,163105,163445,163900, ﾚ,164605,164945,165400, ﾚ,170105,170445,170900, ﾚ,171605,171945,172230,172400, ﾚ,173105,173445,173730,173900, ﾚ,174605,174945,175230,175400, ﾚ,180105,180445,180730,180900, ﾚ,181605,181945,182230,182400, ﾚ,183105,183445,183730,183900, ﾚ,184605,184945,185230,185400, ﾚ,190105,190445,190730,190900, ﾚ,191605,191945,192400, ﾚ,193105,193445,193900, ﾚ,194605,194945,195400, ﾚ,200105,200445,200900, ﾚ,201605,201945,202400, ﾚ,203105,203445,203900, ﾚ,204605,204945,205400, ﾚ,210105,210445,210900, ﾚ,211605,211945,212400, ﾚ,213105,213445,213900, ﾚ,214605,214945,215400, ﾚ,220105, ﾚ, ﾚ, ﾚ,221605, ﾚ, ﾚ, ﾚ,223105, ﾚ, ﾚ, ﾚ,224605, ﾚ,230105, ﾚ,231605, ﾚ,233105, ﾚ,234605, ﾚ, 00105, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛灣學區,発,,, 60305, ﾚ, 61805, ﾚ, 63305, 64100, ﾚ, 64805, 65145,, 65600, ﾚ, 70305, 70645, 70930, 71100, ﾚ, 71805, 72145, 72430, 72600, ﾚ, 73305, 73645, 73930, 74100, ﾚ, 74805, 75145, 75430, 75600, ﾚ, 80305, 80645, 80930, 81100, ﾚ, 81805, 82145, 82430, 82600, ﾚ, 83305, 83645, 83930, 84100, ﾚ, 84805, 85145, 85430, 85600, ﾚ, 90305, 90645, 91100, ﾚ, 91805, 92145, 92600, ﾚ, 93305, 93645, 94100, ﾚ, 94805, 95145, 95600, ﾚ,100305,100645,101100, ﾚ,101805,102145,102600, ﾚ,103305,103645,104100, ﾚ,104805,105145,105600, ﾚ,110305,110645,111100, ﾚ,111805,112145,112600, ﾚ,113305,113645,114100, ﾚ,114805,115145,115600, ﾚ,120305,120645,121100, ﾚ,121805,122145,122600, ﾚ,123305,123645,124100, ﾚ,124805,125145,125600, ﾚ,130305,130645,131100, ﾚ,131805,132145,132600, ﾚ,133305,133645,134100, ﾚ,134805,135145,135600, ﾚ,140305,140645,141100, ﾚ,141805,142145,142600, ﾚ,143305,143645,144100, ﾚ,144805,145145,145600, ﾚ,150305,150645,151100, ﾚ,151805,152145,152600, ﾚ,153305,153645,154100, ﾚ,154805,155145,155600, ﾚ,160305,160645,161100, ﾚ,161805,162145,162600, ﾚ,163305,163645,164100, ﾚ,164805,165145,165600, ﾚ,170305,170645,171100, ﾚ,171805,172145,172430,172600, ﾚ,173305,173645,173930,174100, ﾚ,174805,175145,175430,175600, ﾚ,180305,180645,180930,181100, ﾚ,181805,182145,182430,182600, ﾚ,183305,183645,183930,184100, ﾚ,184805,185145,185430,185600, ﾚ,190305,190645,190930,191100, ﾚ,191805,192145,192600, ﾚ,193305,193645,194100, ﾚ,194805,195145,195600, ﾚ,200305,200645,201100, ﾚ,201805,202145,202600, ﾚ,203305,203645,204100, ﾚ,204805,205145,205600, ﾚ,210305,210645,211100, ﾚ,211805,212145,212600, ﾚ,213305,213645,214100, ﾚ,214805,215145,215600, ﾚ,220305, ﾚ, ﾚ, ﾚ,221805, ﾚ, ﾚ, ﾚ,223305, ﾚ, ﾚ, ﾚ,224805, ﾚ,230305, ﾚ,231805, ﾚ,233305, ﾚ,234805, ﾚ, 00305, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
科創園,着,,, 60430, ﾚ, 61930, ﾚ, 63430, 64225, ﾚ, 64930, 65310,, 65725, ﾚ, 70430, 70810, 71055, 71225, ﾚ, 71930, 72310, 72555, 72725, ﾚ, 73430, 73810, 74055, 74225, ﾚ, 74930, 75310, 75555, 75725, ﾚ, 80430, 80810, 81055, 81225, ﾚ, 81930, 82310, 82555, 82725, ﾚ, 83430, 83810, 84055, 84225, ﾚ, 84930, 85310, 85555, 85725, ﾚ, 90430, 90810, 91225, ﾚ, 91930, 92310, 92725, ﾚ, 93430, 93810, 94225, ﾚ, 94930, 95310, 95725, ﾚ,100430,100810,101225, ﾚ,101930,102310,102725, ﾚ,103430,103810,104225, ﾚ,104930,105310,105725, ﾚ,110430,110810,111225, ﾚ,111930,112310,112725, ﾚ,113430,113810,114225, ﾚ,114930,115310,115725, ﾚ,120430,120810,121225, ﾚ,121930,122310,122725, ﾚ,123430,123810,124225, ﾚ,124930,125310,125725, ﾚ,130430,130810,131225, ﾚ,131930,132310,132725, ﾚ,133430,133810,134225, ﾚ,134930,135310,135725, ﾚ,140430,140810,141225, ﾚ,141930,142310,142725, ﾚ,143430,143810,144225, ﾚ,144930,145310,145725, ﾚ,150430,150810,151225, ﾚ,151930,152310,152725, ﾚ,153430,153810,154225, ﾚ,154930,155310,155725, ﾚ,160430,160810,161225, ﾚ,161930,162310,162725, ﾚ,163430,163810,164225, ﾚ,164930,165310,165725, ﾚ,170430,170810,171225, ﾚ,171930,172310,172555,172725, ﾚ,173430,173810,174055,174225, ﾚ,174930,175310,175555,175725, ﾚ,180430,180810,181055,181225, ﾚ,181930,182310,182555,182725, ﾚ,183430,183810,184055,184225, ﾚ,184930,185310,185555,185725, ﾚ,190430,190810,191055,191225, ﾚ,191930,192310,192725, ﾚ,193430,193810,194225, ﾚ,194930,195310,195725, ﾚ,200430,200810,201225, ﾚ,201930,202310,202725, ﾚ,203430,203810,204225, ﾚ,204930,205310,205725, ﾚ,210430,210810,211225, ﾚ,211930,212310,212725, ﾚ,213430,213810,214225, ﾚ,214930,215310,215725, ﾚ,220430, ﾚ, ﾚ, ﾚ,221930, ﾚ, ﾚ, ﾚ,223430, ﾚ, ﾚ, ﾚ,224930, ﾚ,230430, ﾚ,231930, ﾚ,233430, ﾚ,234930, ﾚ, 00430, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
科創園,番線,,,2,上通線,2,上通線,2,2,上通線,2,2,,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,2,2,上通線,2,上通線,上通線,上通線,2,上通線,上通線,上通線,2,上通線,上通線,上通線,2,上通線,2,上通線,2,上通線,2,上通線,2,上通線,2,上通線,上通線,上通線,上通線,上通線,上通線,上通線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
