FileType,OuDiaSecond.JikokuhyouCsv.2
時刻表
下り

列車番号,,105,1009,107,1011,109,2001,7001,1013,3001,111,2003,7003,1015,3003,113,2005,7005,1017,3005,115,2007,7007,1019,3007,117,2009,7009,1021,3009,119,2011,7011,1023,3011,121,2013,7013,1025,3013,123,2015,7015,1027,3015,125,2017,1029,9001,3017,127,2019,1031,9003,3019,129,2021,1033,9005,3021,131,2023,1035,9007,3023,133,2025,1037,3025,135,2027,1039,3027,137,2029,1041,3029,139,2031,1043,3031,141,2033,1045,3033,143,2035,1047,3035,145,2037,1049,3037,147,2039,1051,3039,149,2041,1053,3041,151,2043,1055,3043,153,2045,1057,3045,155,2047,1059,3047,157,2049,1061,3049,159,2051,1063,3051,161,2053,1065,3053,163,2055,1067,3055,165,2057,1069,3057,167,2059,1071,3059,169,2061,1073,3061,171,2063,1075,3063,173,2065,1077,3065,175,2067,1079,3067,177,2069,1081,3069,179,2071,1083,3071,181,2073,1085,3073,183,2075,1087,3075,185,2077,1089,3077,187,2079,1091,3079,189,2081,1093,3081,191,2083,1095,3083,193,2085,7017,1097,3085,195,2087,7019,1099,3087,197,2089,7021,1101,3089,199,2091,7023,1103,3091,201,2093,7025,1105,3093,203,2095,7027,1107,3095,205,2097,7029,1109,3097,207,2099,7031,1111,3099,209,2101,9045,1113,3101,211,2103,1115,9047,3103,213,2105,9049,1117,3105,215,2107,1119,3107,217,2109,1121,3109,219,2111,1123,3111,221,2113,1125,3113,223,2115,1127,3115,225,2117,1129,3117,227,2119,1131,3119,229,2121,1133,3121,231,2123,1135,3123,233,9051,9053,1137,235,9055,1139,1141,237,9059,1143,239,1145,241,1147,243,1149,245,1151,247,9061,1153,9063,9065,1001,1003,1005,1007,101,103,9043,4001,9037,9035,9033,9031,9039,9041,5001,5003,5005,5007,5009,5011,5013,5015,5017,5019,5021,5023,5025,5027,5029,5031,5033,5035,5037,5039,5041,5043,5045,5047,5049,5051,5053,5055,5057,5059,5061,5063,5065,5067,5069,5071,5073,5075,5077,5079,5081,5083,5085,5087,5089,5091,5093,5095,5097,5099,5101,5103,5105,5107,5109,5111,5113,5115,5117,5119,5121,5123,5125,5127,5129,5131,5133,5135,5137,5139,5141,5143,5145,5147,5149,5151,5153,5155,5157,5159,5161,5163,5165,5167,5169,5171,5173,5175,9009,9011,9013,9015,9017,9019,9021,9023,9025,9027
飛灣郵輪港,着, 60640, 61605, 62140, 63105, 63640, 64120, 64320, 64605, 65055, 65140, 65620, 65820, 70105, 70555, 70640, 71120, 71320, 71605, 72100, 72140, 72620, 72820, 73105, 73600, 73640, 74120, 74320, 74605, 75100, 75140, 75620, 75820, 80105, 80600, 80640, 81120, 81320, 81605, 82100, 82140, 82620, 82820, 83105, 83600, 83640, 84120, 84605,, 85100, 85140, 85620, 90105,, 90600, 90640, 91120, 91605,, 92100, 92140, 92620, 93105,, 93600, 93640, 94120, 94605, 95100, 95140, 95620,100105,100600,100640,101120,101605,102100,102140,102620,103105,103600,103640,104120,104605,105100,105140,105620,110105,110600,110640,111120,111605,112100,112140,112620,113105,113600,113640,114120,114605,115100,115140,115620,120105,120600,120640,121120,121605,122100,122140,122620,123105,123600,123640,124120,124605,125100,125140,125620,130105,130600,130640,131120,131605,132100,132140,132620,133105,133600,133640,134120,134605,135100,135140,135620,140105,140600,140640,141120,141605,142100,142140,142620,143105,143600,143640,144120,144605,145100,145140,145620,150105,150600,150640,151120,151605,152100,152140,152620,153105,153600,153640,154120,154605,155100,155140,155620,160105,160600,160640,161120,161605,162100,162140,162620,163105,163600,163640,164120,164605,165100,165140,165620,170105,170600,170640,171120,171320,171605,172100,172140,172620,172820,173105,173600,173640,174120,174320,174605,175100,175140,175620,175820,180105,180600,180640,181120,181320,181605,182100,182140,182620,182820,183105,183600,183640,184120,184320,184605,185100,185140,185620,185820,190105,190600,190640,191120,,191605,192100,192140,192620,193105,,193600,193640,194120,,194605,195100,195140,195620,200105,200600,200640,201120,201605,202100,202140,202620,203105,203600,203640,204120,204605,205100,205140,205620,210105,210600,210640,211120,211605,212100,212140,212620,213105,213600,213640,214120,214605,215100,215140,215620,220105,220600,220640,,,221605,222140,,223105,223555,223640,,224605,225140,230105,230640,231605,232140,233105,233640,234605,235140,,240020,,,,,,,,, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 60000, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
飛灣郵輪港,番線,2,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,,1,2,1,1,,1,2,1,1,,1,2,1,1,,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,,1,1,2,1,1,,1,2,1,,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,,,1,2,,1,1,2,,1,2,1,2,1,2,1,2,1,2,,1,,,,,,1,,,2,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2
飛灣郵輪港,発, 60740, 61705, 62240, 63205, 63740, 64220, 64420, 64705, 65325, 65240, 65720, 65920, 70205, 70825, 70740, 71220, 71420, 71705, 72330, 72240, 72720, 72920, 73205, 73830, 73740, 74220, 74420, 74705, 75330, 75240, 75720, 75920, 80205, 80830, 80740, 81220, 81420, 81705, 82330, 82240, 82720, 82920, 83205, 83830, 83740, 84220, 84705,, 85330, 85240, 85720, 90205,, 90830, 90740, 91220, 91705,, 92330, 92240, 92720, 93205,, 93830, 93740, 94220, 94705, 95330, 95240, 95720,100205,100830,100740,101220,101705,102330,102240,102720,103205,103830,103740,104220,104705,105330,105240,105720,110205,110830,110740,111220,111705,112330,112240,112720,113205,113830,113740,114220,114705,115330,115240,115720,120205,120830,120740,121220,121705,122330,122240,122720,123205,123830,123740,124220,124705,125330,125240,125720,130205,130830,130740,131220,131705,132330,132240,132720,133205,133830,133740,134220,134705,135330,135240,135720,140205,140830,140740,141220,141705,142330,142240,142720,143205,143830,143740,144220,144705,145330,145240,145720,150205,150830,150740,151220,151705,152330,152240,152720,153205,153830,153740,154220,154705,155330,155240,155720,160205,160830,160740,161220,161705,162330,162240,162720,163205,163830,163740,164220,164705,165330,165240,165720,170205,170830,170740,171220,171420,171705,172330,172240,172720,172920,173205,173830,173740,174220,174420,174705,175330,175240,175720,175920,180205,180830,180740,181220,181420,181705,182330,182240,182720,182920,183205,183830,183740,184220,184420,184705,185330,185240,185720,185920,190205,190830,190740,191220,,191705,192330,192240,192720,193205,,193830,193740,194220,,194705,195330,195240,195720,200205,200830,200740,201220,201705,202330,202240,202720,203205,203830,203740,204220,204705,205330,205240,205720,210205,210830,210740,211220,211705,212330,212240,212720,213205,213830,213740,214220,214705,215330,215240,215720,220205,220830,220740,,,221705,222240,,223205,223825,223740,,224705,225240,230205,230740,231705,232240,233205,233740,234705,235240,,,,,,,, 60205,,, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
濱江商務區,発, ﾚ, 62205, ﾚ, 63705, ﾚ, 64720, 64920, 65205, 65825, ﾚ, 70220, 70420, 70705, 71325, ﾚ, 71720, 71920, 72205, 72830, ﾚ, 73220, 73420, 73705, 74330, ﾚ, 74720, 74920, 75205, 75830, ﾚ, 80220, 80420, 80705, 81330, ﾚ, 81720, 81920, 82205, 82830, ﾚ, 83220, 83420, 83705, 84330, ﾚ, 84720, 85205,, 85830, ﾚ, 90220, 90705,, 91330, ﾚ, 91720, 92205,, 92830, ﾚ, 93220, 93705,, 94330, ﾚ, 94720, 95205, 95830, ﾚ,100220,100705,101330, ﾚ,101720,102205,102830, ﾚ,103220,103705,104330, ﾚ,104720,105205,105830, ﾚ,110220,110705,111330, ﾚ,111720,112205,112830, ﾚ,113220,113705,114330, ﾚ,114720,115205,115830, ﾚ,120220,120705,121330, ﾚ,121720,122205,122830, ﾚ,123220,123705,124330, ﾚ,124720,125205,125830, ﾚ,130220,130705,131330, ﾚ,131720,132205,132830, ﾚ,133220,133705,134330, ﾚ,134720,135205,135830, ﾚ,140220,140705,141330, ﾚ,141720,142205,142830, ﾚ,143220,143705,144330, ﾚ,144720,145205,145830, ﾚ,150220,150705,151330, ﾚ,151720,152205,152830, ﾚ,153220,153705,154330, ﾚ,154720,155205,155830, ﾚ,160220,160705,161330, ﾚ,161720,162205,162830, ﾚ,163220,163705,164330, ﾚ,164720,165205,165830, ﾚ,170220,170705,171330, ﾚ,171720,171920,172205,172830, ﾚ,173220,173420,173705,174330, ﾚ,174720,174920,175205,175830, ﾚ,180220,180420,180705,181330, ﾚ,181720,181920,182205,182830, ﾚ,183220,183420,183705,184330, ﾚ,184720,184920,185205,185830, ﾚ,190220,190420,190705,191330, ﾚ,191720,,192205,192830, ﾚ,193220,193705,,194330, ﾚ,194720,,195205,195830, ﾚ,200220,200705,201330, ﾚ,201720,202205,202830, ﾚ,203220,203705,204330, ﾚ,204720,205205,205830, ﾚ,210220,210705,211330, ﾚ,211720,212205,212830, ﾚ,213220,213705,214330, ﾚ,214720,215205,215830, ﾚ,220220,220705,221330, ﾚ,,,222205, ﾚ,,223705,224325, ﾚ,,225205, ﾚ,230705, ﾚ,232205, ﾚ,233705, ﾚ,235205, ﾚ,,,,,,,, 60705,,, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
市民廣場,着, ﾚ, 62340, ﾚ, 63840, ﾚ, 64855, 65055, 65340, 70000, ﾚ, 70355, 70555, 70840, 71500, ﾚ, 71855, 72055, 72340, 73005, ﾚ, 73355, 73555, 73840, 74505, ﾚ, 74855, 75055, 75340, 80005, ﾚ, 80355, 80555, 80840, 81505, ﾚ, 81855, 82055, 82340, 83005, ﾚ, 83355, 83555, 83840, 84505, ﾚ, 84855, 85340,, 90005, ﾚ, 90355, 90840,, 91505, ﾚ, 91855, 92340,, 93005, ﾚ, 93355, 93840,, 94505, ﾚ, 94855, 95340,100005, ﾚ,100355,100840,101505, ﾚ,101855,102340,103005, ﾚ,103355,103840,104505, ﾚ,104855,105340,110005, ﾚ,110355,110840,111505, ﾚ,111855,112340,113005, ﾚ,113355,113840,114505, ﾚ,114855,115340,120005, ﾚ,120355,120840,121505, ﾚ,121855,122340,123005, ﾚ,123355,123840,124505, ﾚ,124855,125340,130005, ﾚ,130355,130840,131505, ﾚ,131855,132340,133005, ﾚ,133355,133840,134505, ﾚ,134855,135340,140005, ﾚ,140355,140840,141505, ﾚ,141855,142340,143005, ﾚ,143355,143840,144505, ﾚ,144855,145340,150005, ﾚ,150355,150840,151505, ﾚ,151855,152340,153005, ﾚ,153355,153840,154505, ﾚ,154855,155340,160005, ﾚ,160355,160840,161505, ﾚ,161855,162340,163005, ﾚ,163355,163840,164505, ﾚ,164855,165340,170005, ﾚ,170355,170840,171505, ﾚ,171855,172055,172340,173005, ﾚ,173355,173555,173840,174505, ﾚ,174855,175055,175340,180005, ﾚ,180355,180555,180840,181505, ﾚ,181855,182055,182340,183005, ﾚ,183355,183555,183840,184505, ﾚ,184855,185055,185340,190005, ﾚ,190355,190555,190840,191505, ﾚ,191855,,192340,193005, ﾚ,193355,193840,,194505, ﾚ,194855,,195340,200005, ﾚ,200355,200840,201505, ﾚ,201855,202340,203005, ﾚ,203355,203840,204505, ﾚ,204855,205340,210005, ﾚ,210355,210840,211505, ﾚ,211855,212340,213005, ﾚ,213355,213840,214505, ﾚ,214855,215340,220005, ﾚ,220355,220840,221505, ﾚ,,,222340, ﾚ,,223840,224500, ﾚ,,225340, ﾚ,230840, ﾚ,232340, ﾚ,233840, ﾚ,235340, ﾚ,,,,,,,, 60840,,, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
市民廣場,番線,下通線,1,下通線,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,,1,下通線,1,1,,1,下通線,1,1,,1,下通線,1,1,,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,1,1,1,下通線,1,,1,1,下通線,1,1,,1,下通線,1,,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,1,1,1,下通線,,,1,下通線,,1,1,下通線,,1,下通線,1,下通線,1,下通線,1,下通線,1,下通線,,,,,,,,1,,,下通線,,下通線,下通線,下通線,下通線,下通線,下通線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線,下通線
市民廣場,発, 61130?, 62410, 62630?, 63910, 64130?, 64925, 65125, 65410, 70030, 65630?, 70425, 70625, 70910, 71530, 71130?, 71925, 72125, 72410, 73035, 72630?, 73425, 73625, 73910, 74535, 74130?, 74925, 75125, 75410, 80035, 75630?, 80425, 80625, 80910, 81535, 81130?, 81925, 82125, 82410, 83035, 82630?, 83425, 83625, 83910, 84535, 84130?, 84925, 85410,, 90035, 85630?, 90425, 90910,, 91535, 91130?, 91925, 92410,, 93035, 92630?, 93425, 93910,, 94535, 94130?, 94925, 95410,100035, 95630?,100425,100910,101535,101130?,101925,102410,103035,102630?,103425,103910,104535,104130?,104925,105410,110035,105630?,110425,110910,111535,111130?,111925,112410,113035,112630?,113425,113910,114535,114130?,114925,115410,120035,115630?,120425,120910,121535,121130?,121925,122410,123035,122630?,123425,123910,124535,124130?,124925,125410,130035,125630?,130425,130910,131535,131130?,131925,132410,133035,132630?,133425,133910,134535,134130?,134925,135410,140035,135630?,140425,140910,141535,141130?,141925,142410,143035,142630?,143425,143910,144535,144130?,144925,145410,150035,145630?,150425,150910,151535,151130?,151925,152410,153035,152630?,153425,153910,154535,154130?,154925,155410,160035,155630?,160425,160910,161535,161130?,161925,162410,163035,162630?,163425,163910,164535,164130?,164925,165410,170035,165630?,170425,170910,171535,171130?,171925,172125,172410,173035,172630?,173425,173625,173910,174535,174130?,174925,175125,175410,180035,175630?,180425,180625,180910,181535,181130?,181925,182125,182410,183035,182630?,183425,183625,183910,184535,184130?,184925,185125,185410,190035,185630?,190425,190625,190910,191535,191130?,191925,,192410,193035,192630?,193425,193910,,194535,194130?,194925,,195410,200035,195630?,200425,200910,201535,201130?,201925,202410,203035,202630?,203425,203910,204535,204130?,204925,205410,210035,205630?,210425,210910,211535,211130?,211925,212410,213035,212630?,213425,213910,214535,214130?,214925,215410,220035,215630?,220425,220910,221535,221130?,,,222410,222630?,,223910,224530,224130?,,225410,225630?,230910,231130?,232410,232630?,233910,234130?,235410,235630?,,,,,,,, 60910,,, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
文化中心,発, ﾚ, 62605, ﾚ, 64105, ﾚ, 65120, 65320, 65605, 70225, ﾚ, 70620, 70820, 71105, 71725, ﾚ, 72120, 72320, 72605, 73230, ﾚ, 73620, 73820, 74105, 74730, ﾚ, 75120, 75320, 75605, 80230, ﾚ, 80620, 80820, 81105, 81730, ﾚ, 82120, 82320, 82605, 83230, ﾚ, 83620, 83820, 84105, 84730, ﾚ, 85120, 85605,, 90230, ﾚ, 90620, 91105,, 91730, ﾚ, 92120, 92605,, 93230, ﾚ, 93620, 94105,, 94730, ﾚ, 95120, 95605,100230, ﾚ,100620,101105,101730, ﾚ,102120,102605,103230, ﾚ,103620,104105,104730, ﾚ,105120,105605,110230, ﾚ,110620,111105,111730, ﾚ,112120,112605,113230, ﾚ,113620,114105,114730, ﾚ,115120,115605,120230, ﾚ,120620,121105,121730, ﾚ,122120,122605,123230, ﾚ,123620,124105,124730, ﾚ,125120,125605,130230, ﾚ,130620,131105,131730, ﾚ,132120,132605,133230, ﾚ,133620,134105,134730, ﾚ,135120,135605,140230, ﾚ,140620,141105,141730, ﾚ,142120,142605,143230, ﾚ,143620,144105,144730, ﾚ,145120,145605,150230, ﾚ,150620,151105,151730, ﾚ,152120,152605,153230, ﾚ,153620,154105,154730, ﾚ,155120,155605,160230, ﾚ,160620,161105,161730, ﾚ,162120,162605,163230, ﾚ,163620,164105,164730, ﾚ,165120,165605,170230, ﾚ,170620,171105,171730, ﾚ,172120,172320,172605,173230, ﾚ,173620,173820,174105,174730, ﾚ,175120,175320,175605,180230, ﾚ,180620,180820,181105,181730, ﾚ,182120,182320,182605,183230, ﾚ,183620,183820,184105,184730, ﾚ,185120,185320,185605,190230, ﾚ,190620,190820,191105,191730, ﾚ,192120,,192605,193230, ﾚ,193620,194105,,194730, ﾚ,195120,,195605,200230, ﾚ,200620,201105,201730, ﾚ,202120,202605,203230, ﾚ,203620,204105,204730, ﾚ,205120,205605,210230, ﾚ,210620,211105,211730, ﾚ,212120,212605,213230, ﾚ,213620,214105,214730, ﾚ,215120,215605,220230, ﾚ,220620,221105,221730, ﾚ,,,222605, ﾚ,,224105,224725, ﾚ,,225605, ﾚ,231105, ﾚ,232605, ﾚ,234105, ﾚ,235605, ﾚ,,,,,,,, 61105,,, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
飛灣新站,着, 61340, 62755, 62840, 64255, 64340, 65310, 65510, 65755, 70415, 65840, 70810, 71010, 71255, 71915, 71340, 72310, 72510, 72755, 73420, 72840, 73810, 74010, 74255, 74920, 74340, 75310, 75510, 75755, 80420, 75840, 80810, 81010, 81255, 81920, 81340, 82310, 82510, 82755, 83420, 82840, 83810, 84010, 84255, 84920, 84340, 85310, 85755,, 90420, 85840, 90810, 91255,, 91920, 91340, 92310, 92755,, 93420, 92840, 93810, 94255,, 94920, 94340, 95310, 95755,100420, 95840,100810,101255,101920,101340,102310,102755,103420,102840,103810,104255,104920,104340,105310,105755,110420,105840,110810,111255,111920,111340,112310,112755,113420,112840,113810,114255,114920,114340,115310,115755,120420,115840,120810,121255,121920,121340,122310,122755,123420,122840,123810,124255,124920,124340,125310,125755,130420,125840,130810,131255,131920,131340,132310,132755,133420,132840,133810,134255,134920,134340,135310,135755,140420,135840,140810,141255,141920,141340,142310,142755,143420,142840,143810,144255,144920,144340,145310,145755,150420,145840,150810,151255,151920,151340,152310,152755,153420,152840,153810,154255,154920,154340,155310,155755,160420,155840,160810,161255,161920,161340,162310,162755,163420,162840,163810,164255,164920,164340,165310,165755,170420,165840,170810,171255,171920,171340,172310,172510,172755,173420,172840,173810,174010,174255,174920,174340,175310,175510,175755,180420,175840,180810,181010,181255,181920,181340,182310,182510,182755,183420,182840,183810,184010,184255,184920,184340,185310,185510,185755,190420,185840,190810,191010,191255,191920,191340,192310,,192755,193420,192840,193810,194255,,194920,194340,195310,,195755,200420,195840,200810,201255,201920,201340,202310,202755,203420,202840,203810,204255,204920,204340,205310,205755,210420,205840,210810,211255,211920,211340,212310,212755,213420,212840,213810,214255,214920,214340,215310,215755,220420,215840,220810,221255,221920,221340,,,222755,222840,,224255,224915,224340,,225755,225840,231255,231340,232755,232840,234255,234340,235755,235840,,,,,,,, 61255,,, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 54700, 55000, 55500, 55800, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
飛灣新站,番線,2,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,,1,2,1,1,,1,2,1,1,,1,2,1,1,,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,,1,1,2,1,1,,1,2,1,,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,,,1,2,,1,1,2,,1,2,1,2,1,2,1,2,1,2,,,,,,,1,1,,2,2,,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,3,2,2,2,2,2
飛灣新站,発, 61440, 63025, 62940, 64525, 64440, 65410, 65610, 70055, 70515, 65940, 70910, 71110, 71555, 72015, 71440, 72410, 72610, 73055, 73520, 72940, 73910, 74110, 74555, 75020, 74440, 75410, 75610, 80055, 80520, 75940, 80910, 81110, 81555, 82020, 81440, 82410, 82610, 83055, 83520, 82940, 83910, 84110, 84555, 85020, 84440, 85410, 90025,, 90520, 85940, 90910, 91525,, 92020, 91440, 92410, 93025,, 93520, 92940, 93910, 94525,, 95020, 94440, 95410,100025,100520, 95940,100910,101525,102020,101440,102410,103025,103520,102940,103910,104525,105020,104440,105410,110025,110520,105940,110910,111525,112020,111440,112410,113025,113520,112940,113910,114525,115020,114440,115410,120025,120520,115940,120910,121525,122020,121440,122410,123025,123520,122940,123910,124525,125020,124440,125410,130025,130520,125940,130910,131525,132020,131440,132410,133025,133520,132940,133910,134525,135020,134440,135410,140025,140520,135940,140910,141525,142020,141440,142410,143025,143520,142940,143910,144525,145020,144440,145410,150025,150520,145940,150910,151525,152020,151440,152410,153025,153520,152940,153910,154525,155020,154440,155410,160025,160520,155940,160910,161525,162020,161440,162410,163025,163520,162940,163910,164525,165020,164440,165410,170025,170520,165940,170910,171525,172020,171440,172410,172610,173055,173520,172940,173910,174110,174555,175020,174440,175410,175610,180055,180520,175940,180910,181110,181555,182020,181440,182410,182610,183055,183520,182940,183910,184110,184555,185020,184440,185410,185610,190055,190520,185940,190910,191110,191555,192020,191440,192410,,193025,193520,192940,193910,194525,,195020,194440,195410,,200025,200520,195940,200910,201525,202020,201440,202410,203025,203520,202940,203910,204525,205020,204440,205410,210025,210520,205940,210910,211525,212020,211440,212410,213025,213520,212940,213910,214525,215020,214440,215410,220025,220520,215940,220910,221525,222020,221440,,,223025,222940,,224525,225115,224440,,230025,225940,231525,231440,233025,232940,234525,234440,,,,,,,,, 55145, 61525,, 55940, ﾚ,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ﾚ, ﾚ, ﾚ, ﾚ, ﾚ
